title,url,and,in,of,the,to,sentiment,direction
NewsNews,https://www.bbc.com/news/topics/c2vdnvdg6xxt,0.279776268442101,0.3397283259654084,0.37969636431428,0.7394087094541242,0.3397283259654084,0.09924242424242424,Positive
NewsNews,https://www.bbc.com/news/war-in-ukraine,0.33565855667130945,0.3872983346207417,0.30983866769659335,0.7487767802667673,0.28401877872187725,-0.0075017088174982845,Negative
NewsNews,https://www.bbc.com/news/us-canada,0.2403772074240785,0.16025147161605233,0.4487041205249465,0.8333076524034722,0.1442263244544471,-0.08239028213166144,Negative
NewsNews,https://www.bbc.com/news/uk,0.2899045510502246,0.2717855166095856,0.2899045510502246,0.8515946187100348,0.1811903444063904,0.14542957042957042,Positive
NewsNews,https://www.bbc.com/news/world/africa,0.22849890074838375,0.2665820508731144,0.24754047581074903,0.8187877276817084,0.38083150124730625,0.077,Positive
NewsNews,https://www.bbc.com/news/world/asia,0.3620824200783102,0.1810412100391551,0.5172606001118717,0.6983018101510268,0.28449333006152944,0.13039299242424243,Positive
NewsNews,https://www.bbc.com/news/world/australia,0.1450528431089171,0.1934037908118895,0.4593340031782376,0.7494396893960719,0.4109830554752652,0.14412263662263664,Positive
NewsNews,https://www.bbc.com/news/world/europe,0.27941149614440425,0.44705839383104673,0.29803892922069786,0.7450973230517446,0.27941149614440425,-0.07689125295508273,Negative
NewsNews,https://www.bbc.com/news/world/latin_america,0.19620932408862632,0.37061761216740524,0.28341346812801577,0.8284393683742,0.23981139610832106,0.06783333333333334,Positive
NewsNews,https://www.bbc.com/news/world/middle_east,0.23897745234617562,0.3106706880500283,0.3106706880500283,0.764727847507762,0.4062616689884985,0.04962121212121212,Positive
NewsNews,https://www.bbc.com/news/in_pictures,0.05343528749093224,0.23155291246070636,0.6768469748851417,0.694658737382119,0.05343528749093224,0.26986531986531986,Positive
NewsNews,https://www.bbc.com/news/bbcindepth,0.19588563617296706,0.19588563617296706,0.36378761003551024,0.8674935316231399,0.19588563617296706,0.029986843222137332,Positive
NewsNews,https://www.bbc.com/news/bbcverify,0.10784557006733007,0.2619106701635159,0.3235367102019902,0.8165450305097849,0.3851627502404646,0.05216969696969697,Positive
NewsNews,https://www.bbc.com/news/topics/c2vdnvdg6xxt,0.279776268442101,0.3397283259654084,0.37969636431428,0.7394087094541242,0.3397283259654084,0.09924242424242424,Positive
NewsNews,https://www.bbc.com/news/war-in-ukraine,0.33565855667130945,0.3872983346207417,0.30983866769659335,0.7487767802667673,0.28401877872187725,-0.0075017088174982845,Negative
NewsNews,https://www.bbc.com/news/us-canada,0.23658011170369192,0.17349208191604074,0.44161620851355826,0.8359163946863781,0.14194806702221516,-0.07251926040061635,Negative
NewsNews,https://www.bbc.com/news/uk,0.2899045510502246,0.2717855166095856,0.2899045510502246,0.8515946187100348,0.1811903444063904,0.14542957042957042,Positive
NewsNews,https://www.bbc.com/news/politics,0.2805658588748473,0.21821789023599236,0.21821789023599236,0.8416975766245419,0.34291382751370225,0.028555555555555556,Positive
NewsNews,https://www.bbc.com/news/england,0.3020343481704481,0.40863470634825333,0.10660035817780522,0.7995026863335392,0.3020343481704481,0.054770734316188854,Positive
NewsNews,https://www.bbc.com/news/northern_ireland,0.1888885650061676,0.4249992712638771,0.3305549887607933,0.8027764012762123,0.17314785125565363,0.018764172335600907,Positive
NewsNews,https://www.bbc.com/news/northern_ireland/northern_ireland_politics,0.22161505654593533,0.3693584275765589,0.2954867420612471,0.8125885406684296,0.2585508993035912,0.06279351961170142,Positive
NewsNews,https://www.bbc.com/news/scotland,0.21531809081405445,0.3229771362210817,0.3229771362210817,0.8074428405527042,0.3050339619865771,0.027897102897102892,Positive
NewsNews,https://www.bbc.com/news/scotland/scotland_politics,0.23717082451262844,0.1976423537605237,0.2766992952647332,0.75104094428999,0.5138701197773616,0.04219907407407408,Positive
NewsNews,https://www.bbc.com/news/wales,0.22355091700494795,0.33532637550742195,0.22355091700494795,0.6706527510148439,0.5812323842128647,0.046803030303030305,Positive
NewsNews,https://www.bbc.com/news/wales/wales_politics,0.08917559241354196,0.31211457344739685,0.40129016586093885,0.6688169431015647,0.5350535544812518,0.09266191325014855,Positive
NewsNews,https://www.bbc.com/news/world/africa,0.22849890074838375,0.2665820508731144,0.24754047581074903,0.8187877276817084,0.38083150124730625,0.077,Positive
NewsNews,https://www.bbc.com/news/world/asia,0.3620824200783102,0.1810412100391551,0.5172606001118717,0.6983018101510268,0.28449333006152944,0.13039299242424243,Positive
NewsNews,https://www.bbc.com/news/world/asia/china,0.06908885358534668,0.3454442679267334,0.5181664018901001,0.7599773894388134,0.1727221339633667,0.029861111111111102,Positive
NewsNews,https://www.bbc.com/news/world/asia/india,0.2506497133659022,0.2120882190019172,0.3856149436398495,0.8483528760076688,0.1542459774559398,0.11994047619047617,Positive
NewsNews,https://www.bbc.com/news/world/australia,0.1450528431089171,0.1934037908118895,0.4593340031782376,0.7494396893960719,0.4109830554752652,0.14412263662263664,Positive
NewsNews,https://www.bbc.com/news/world/europe,0.27941149614440425,0.44705839383104673,0.29803892922069786,0.7450973230517446,0.27941149614440425,-0.07689125295508273,Negative
NewsNews,https://www.bbc.com/news/world/latin_america,0.19620932408862632,0.37061761216740524,0.28341346812801577,0.8284393683742,0.23981139610832106,0.06783333333333334,Positive
NewsNews,https://www.bbc.com/news/world/middle_east,0.23897745234617562,0.3106706880500283,0.3106706880500283,0.764727847507762,0.4062616689884985,0.04962121212121212,Positive
